PlayerID,Name,College,Draft_Year,Age,Height,Weight,Draft_Decade
309708,Dewayne Dedmon,USC,Undrafted,28.0,213.36,111.13004,Undrafted
309709,Deyonta Davis,Michigan State,2016,21.0,210.82,107.501304,2010s
309710,Dillon Brooks,Oregon,2017,22.0,198.12,99.79024,2010s
309711,Dennis Schroder,None,2013,24.0,185.42,78.017824,2010s
309712,Darren Collison,UCLA,2009,30.0,187.96,83.91452,2000s
309713,Darrell Arthur,Kansas,2008,30.0,205.74,106.59411999999999,2000s
309714,Darius Miller,Kentucky,2012,28.0,203.2,102.0582,2010s
309715,Channing Frye,Arizona,2005,35.0,210.82,115.66596000000001,2000s
309716,Charles Cooke,University of Dayton,Undrafted,23.0,195.58,88.904032,Undrafted
309717,Cheick Diallo,Kansas,2016,21.0,205.74,99.79024,2010s
309718,Chinanu Onuaku,Louisville,2016,21.0,208.28,111.13004,2010s
309719,Chris Boucher,Oregon,Undrafted,25.0,208.28,90.7184,Undrafted
309720,Chris McCullough,Syracuse,2015,23.0,205.74,97.52228000000001,2010s
309721,Chris Paul,Wake Forest,2005,33.0,182.88,79.3786,2000s
309722,Clint Capela,None,2014,24.0,208.28,108.86208,2010s
309723,Cody Zeller,Indiana,2013,25.0,213.36,108.86208,2010s
309724,Cole Aldrich,Kansas,2010,29.0,210.82,114.758776,2010s
309725,Corey Brewer,Florida,2007,32.0,205.74,84.368112,2000s
309726,Cory Joseph,Texas,2011,26.0,190.5,86.18248,2010s
309727,Courtney Lee,Western Kentucky,2008,32.0,195.58,90.7184,2000s
309728,Cristiano Felicio,None,Undrafted,25.0,205.74,127.00576000000001,Undrafted
309729,D'Angelo Russell,Ohio State,2015,22.0,195.58,88.45044,2010s
309730,D.J. Augustin,Texas,2008,30.0,182.88,83.007336,2000s
309731,D.J. Wilson,Michigan,2017,22.0,208.28,107.047712,2010s
309732,Dario Saric,None,2014,24.0,208.28,101.151016,2010s
309733,Danuel House Jr.,Texas A&M,Undrafted,25.0,200.66,99.79024,Undrafted
309734,Dante Exum,None,2014,22.0,198.12,86.18248,2010s
309735,Dante Cunningham,Villanova,2009,31.0,203.2,104.32616,2000s
309736,Danny Green,North Carolina,2009,31.0,198.12,97.52228000000001,2000s
309737,Danilo Gallinari,None,2008,29.0,208.28,102.0582,2000s
309738,Dirk Nowitzki,None,1998,40.0,213.36,111.13004,1990s
309739,Daniel Theis,None,Undrafted,26.0,205.74,110.22285600000001,Undrafted
309740,Damyean Dotson,Houston,2017,24.0,195.58,95.25432,2010s
309741,Damion Lee,Louisville,Undrafted,25.0,198.12,95.25432,Undrafted
309742,Damien Wilkins,Georgia,Undrafted,38.0,198.12,98.429464,Undrafted
309743,Damian Lillard,Weber State,2012,27.0,190.5,88.45044,2010s
309744,Damian Jones,Vanderbilt,2016,23.0,213.36,111.13004,2010s
309745,Dakari Johnson,Kentucky,2015,22.0,213.36,115.66596000000001,2010s
309746,Daniel Hamilton,Connecticut,2016,22.0,200.66,88.45044,2010s
309747,Ike Anigbogu,UCLA,2017,19.0,208.28,118.841104,2010s
309748,Mario Hezonja,None,2015,23.0,203.2,98.88305600000001,2010s
309749,Isaiah Canaan,Murray State,2013,27.0,182.88,91.171992,2010s
309750,Raymond Felton,North Carolina,2005,34.0,185.42,92.98635999999999,2000s
309751,Raul Neto,None,2013,26.0,185.42,81.19296800000001,2010s
309752,Rashad Vaughn,Nevada-Las Vegas,2015,21.0,198.12,91.625584,2010s
309753,Ramon Sessions,Nevada-Reno,2007,32.0,190.5,86.18248,2000s
309754,Rajon Rondo,Kentucky,2006,32.0,185.42,84.368112,2000s
309755,RJ Hunter,Georgia State,2015,24.0,195.58,83.91452,2010s
309756,Quinn Cook,Duke,Undrafted,25.0,187.96,81.19296800000001,Undrafted
309757,Quincy Pondexter,Washington,2010,30.0,200.66,102.0582,2010s
309758,Reggie Bullock,North Carolina,2013,27.0,200.66,92.98635999999999,2010s
309759,Quincy Acy,Baylor,2012,27.0,200.66,108.86208,2010s
309760,Paul Millsap,Louisiana Tech,2006,33.0,203.2,111.58363200000001,2000s
309761,Paul George,Fresno State,2010,28.0,205.74,99.79024,2010s
309762,Pau Gasol,None,2001,37.0,213.36,113.398,2000s
309763,Patty Mills,St. Mary's (CA),2009,29.0,182.88,83.91452,2000s
309764,Patrick Patterson,Kentucky,2010,29.0,205.74,104.32616,2010s
309765,Patrick McCaw,UNLV,2016,22.0,200.66,83.91452,2010s
309766,Patrick Beverley,None,2009,29.0,185.42,83.91452,2000s
309767,Pat Connaughton,Notre Dame,2015,25.0,195.58,95.25432,2010s
309768,Paul Zipser,None,2016,24.0,203.2,102.511792,2010s
309769,Pascal Siakam,New Mexico State,2016,24.0,205.74,104.32616,2010s
309770,Reggie Hearn,Northwestern,Undrafted,26.0,195.58,95.25432,Undrafted
309771,Richard Jefferson,Arizona,2001,38.0,200.66,105.68693600000002,2000s
309772,Scotty Hopson,Tennessee,Undrafted,28.0,200.66,92.532768,Undrafted
309773,Sam Dekker,Wisconsin,2015,24.0,205.74,104.32616,2010s
309774,Salah Mejri,None,Undrafted,32.0,218.44,106.59411999999999,Undrafted
309775,Ryan Arcidiacono,Villanova,Undrafted,24.0,190.5,88.45044,Undrafted
309776,Ryan Anderson,California,2008,30.0,208.28,108.86208,2000s
309777,Russell Westbrook,UCLA,2008,29.0,190.5,90.7184,2000s
309778,Rudy Gobert,None,2013,26.0,215.9,111.13004,2010s
309779,Rudy Gay,Connecticut,2006,31.0,203.2,104.32616,2000s
309780,Reggie Jackson,Boston College,2011,28.0,190.5,94.34713599999999,2010s
309781,Royce O'Neale,Baylor,Undrafted,25.0,198.12,102.511792,Undrafted
309782,Ron Baker,Wichita State,Undrafted,25.0,193.04,99.79024,Undrafted
309783,Rodney Purvis,Connecticut,Undrafted,24.0,193.04,92.98635999999999,Undrafted
309784,Rodney McGruder,Kansas State,Undrafted,26.0,193.04,90.7184,Undrafted
309785,Rodney Hood,Duke,2014,25.0,203.2,93.439952,2010s
309786,Robin Lopez,Stanford,2008,30.0,213.36,125.64498400000001,2000s
309787,Robert Covington,Tennessee State,Undrafted,27.0,205.74,102.0582,Undrafted
309788,Ricky Rubio,None,2009,27.0,193.04,86.18248,2000s
309789,Richaun Holmes,Bowling Green,2015,24.0,208.28,106.59411999999999,2010s
309790,Rondae Hollis-Jefferson,Arizona,2015,23.0,200.66,97.068688,2010s
309791,Sean Kilpatrick,Cincinnati,Undrafted,28.0,193.04,96.16150400000001,Undrafted
309792,PJ Dozier,South Carolina,Undrafted,21.0,198.12,92.98635999999999,Undrafted
309793,Otto Porter Jr.,Georgetown,2013,25.0,203.2,89.811216,2010s
309794,Myke Henry,None,Undrafted,25.0,198.12,95.25432,Undrafted
309795,Montrezl Harrell,Louisville,2015,24.0,203.2,108.86208,2010s
309796,Monte Morris,Iowa State,2017,23.0,190.5,79.3786,2010s
309797,Mirza Teletovic,None,Undrafted,32.0,205.74,109.769264,Undrafted
309798,Mindaugas Kuzminskas,None,Undrafted,28.0,205.74,97.52228000000001,Undrafted
309799,Milton Doyle,Loyola (IL),Undrafted,24.0,193.04,81.64656,Undrafted
309800,Milos Teodosic,None,Undrafted,31.0,195.58,88.904032,Undrafted
309801,Miles Plumlee,Duke,2012,29.0,210.82,112.94440800000001,2010s
309802,Myles Turner,Texas,2015,22.0,210.82,115.66596000000001,2010s
309803,Mike Scott,Virginia,2012,29.0,203.2,107.501304,2010s
309804,Mike James,Lamar,Undrafted,27.0,185.42,88.45044,Undrafted
309805,Mike Conley,Ohio State,2007,30.0,185.42,79.3786,2000s
309806,Michael Kidd-Gilchrist,Kentucky,2012,24.0,200.66,105.23334399999999,2010s
309807,Michael Carter-Williams,Syracuse,2013,26.0,198.12,86.18248,2010s
309808,Michael Beasley,Kansas State,2008,29.0,205.74,106.59411999999999,2000s
309809,Meyers Leonard,Illinois,2012,26.0,215.9,115.66596000000001,2010s
309810,Maxi Kleber,None,Undrafted,26.0,210.82,99.79024,Undrafted
309811,Maurice Harkless,"St. John's, N.Y.",2012,25.0,205.74,99.79024,2010s
309812,Mike Muscala,Bucknell,2013,26.0,210.82,108.86208,2010s
309813,P.J. Tucker,Texas,2006,33.0,198.12,111.13004,2000s
309814,Nate Wolters,South Dakota State,2013,27.0,193.04,86.18248,2010s
309815,Nemanja Bjelica,None,2010,30.0,208.28,104.32616,2010s
309816,Omri Casspi,None,2009,30.0,205.74,102.0582,2000s
309817,Omer Asik,None,2008,31.0,213.36,115.66596000000001,2000s
309818,Omari Johnson,Oregon State,Undrafted,29.0,205.74,99.79024,Undrafted
309819,Okaro White,Florida State,Undrafted,25.0,203.2,97.52228000000001,Undrafted
309820,OG Anunoby,Indiana,2017,20.0,203.2,106.59411999999999,2010s
309821,Norman Powell,UCLA,2015,25.0,193.04,97.52228000000001,2010s
